Flowable,CAS No,Formula,Synonyms,Flow property factor,Unit,Directionality,Compartment,External reference,Preferred
"Energy, solar",,,,Energy,MJ,Resource,air,,1
"Energy, wind",,,,Energy,MJ,Resource,air,,1
"Energy, geothermal",,,,Energy,MJ,Resource,ground,,1
"Energy, hydro",,,,Energy,MJ,Resource,water,,1
"Energy, electromagnetic",,,,Energy,MJ,Resource,air,,1
"Energy, hydro-wave",,,,Energy,MJ,Resource,water,,1
"Energy, hydro-tidal",,,,Energy,MJ,Resource,water,,1
"Energy, heat",,,,Energy,MJ,Resource,air,,1
"Energy, heat",,,,Energy,MJ,Emission,air,,1
"Energy, heat",,,,Energy,MJ,Resource,water,,1
"Energy, heat",,,,Energy,MJ,Emission,water,,1
"Energy, heat",,,,Energy,MJ,Resource,ground,,1
"Energy, heat",,,,Energy,MJ,Emission,ground,,1
