TargetFlowName,TargetUnit,MatchCondition,SourceFlowName,SourceUnit,Mapper,Map method,Verifier,Note,LastUpdated
p-Chloronitrobenzene,kg,=,P-CHLORONITROBENZENE,kg,Young,match to TRACI 2.1,,,2/6/2025
p-Nitroaniline,kg,=,4-NITROANILINE,kg,Young,match to TRACI 2.1,,,2/6/2025
Ethylbenzene,kg,=,ethylbenzene,kg,Young,match to TRACI 2.1,,,2/6/2025
Styrene,kg,=,styrene,kg,Young,match to TRACI 2.1,,,2/6/2025
Benzyl chloride,kg,=,Benzyl chloride,kg,Young,match to TRACI 2.1,,,2/6/2025
Benzyl alcohol,kg,=,benzyl alcohol,kg,Young,match to TRACI 2.1,,,2/6/2025
,,,benzyldehyde,kg,,,,,
Hexamethylenetetramine,kg,=,HEXAMETHYLENETETRAMINE,kg,Young,match to TRACI 2.1,,,2/6/2025
Anilazine,kg,=,ANILAZINE,kg,Young,match to TRACI 2.1,,,2/6/2025
Chlorpropham,kg,=,CHLORPROPHAM,kg,Young,match to TRACI 2.1,,,2/6/2025
Heptachlor epoxide,kg,=,Heptachlor epoxide,kg,Young,match to TRACI 2.1,,,2/6/2025
Triethanolamine,kg,=,TRIETHANOLAMINE,kg,Young,match to TRACI 2.1,,,2/6/2025
Di(2-ethylhexyl) adipate,kg,=,Bis(2-ethylhexyl)adipate,kg,Young,match to TRACI 2.1,,,2/6/2025
Azobenzene,kg,=,AZOBENZENE,kg,Young,match to TRACI 2.1,,,2/6/2025
"Benzene, isothiocyanato-",kg,=,PHENYLISOTHIOCYANATE,kg,Young,match to TRACI 2.1,,,2/6/2025
Copper 8-quinolinolate,kg,=,"BIS(8-QUINOLINOLATO-(N1,O8))COPPER",kg,Young,match to TRACI 2.1,,,2/6/2025
Phenylthiourea,kg,=,N-PHENYLTHIOUREA,kg,Young,match to TRACI 2.1,,,2/6/2025
2-Ethylhexanol,kg,=,2-ETHYL-1-HEXANOL,kg,Young,match to TRACI 2.1,,,2/6/2025
"N,N'-Diethylthiourea",kg,=,"N,N-DIETHYLTHIOUREA",kg,Young,match to TRACI 2.1,,,2/6/2025
Caprolactam,kg,=,CAPROLACTAM,kg,Young,match to TRACI 2.1,,,2/6/2025
p-Dichlorobenzene,kg,=,"1,4-dichlorobenzene",kg,Young,match to TRACI 2.1,,,2/6/2025
p-Chloroaniline,kg,=,4-CHLOROANILINE,kg,Young,match to TRACI 2.1,,,2/6/2025
p-Phenylenediamine,kg,=,p-Phenylenediamine,kg,Young,match to TRACI 2.1,,,2/6/2025
Quinone,kg,=,"1,4-Benzoquinone",kg,Young,match to TRACI 2.1,,,2/6/2025
Dibutyltin diacetate,kg,=,DI-n-BUTYL TIN DIACETATE,kg,Young,match to TRACI 2.1,,,2/6/2025
Epichlorohydrin,kg,=,Epichlorohydrin,kg,Young,match to TRACI 2.1,,,2/6/2025
Ethylene dibromide,kg,=,Ethylene dibromide,kg,Young,match to TRACI 2.1,,,2/6/2025
Acrolein,kg,=,Acrolein,kg,Young,match to TRACI 2.1,,,2/6/2025
Allyl chloride,kg,=,3-Chloropropene,kg,Young,match to TRACI 2.1,,,2/6/2025
"1,2-Dichloroethane",kg,=,"1,2-dichloroethane",kg,Young,match to TRACI 2.1,,,2/6/2025
2-Propen-1-ol,kg,=,Allyl alcohol,kg,Young,match to TRACI 2.1,,,2/6/2025
Chloroacetaldehyde,kg,=,CHLOROACETALDEHYDE,kg,Young,match to TRACI 2.1,,,2/6/2025
Ethylene glycol,kg,=,Ethylene glycol,kg,Young,match to TRACI 2.1,,,2/6/2025
Acetaldehyde oxime,kg,=,ACETALDEHYDE OXIME,kg,Young,match to TRACI 2.1,,,2/6/2025
"1,3-Phenylenediamine",kg,=,"1,3-Benzenediamine",kg,Young,match to TRACI 2.1,,,2/6/2025
Resorcinol,kg,=,RESORCINOL,kg,Young,match to TRACI 2.1,,,2/6/2025
Melamine,kg,=,Melamine,kg,Young,match to TRACI 2.1,,,2/6/2025
Toluene,kg,=,toluene,kg,Young,match to TRACI 2.1,,,2/6/2025
Chlorobenzene,kg,=,chlorobenzene,kg,Young,match to TRACI 2.1,,,2/6/2025
Phenol,kg,=,Phenol,kg,Young,match to TRACI 2.1,,,2/6/2025
1-Chlorobutane,kg,=,1-CHLOROBUTANE,kg,Young,match to TRACI 2.1,,,2/6/2025
Tetrahydrofuran,kg,=,TETRAHYDROFURAN,kg,Young,match to TRACI 2.1,,,2/6/2025
Furan,kg,=,furan,kg,Young,match to TRACI 2.1,,,2/6/2025
Sorbic acid,kg,=,SORBIC ACID,kg,Young,match to TRACI 2.1,,,2/6/2025
Hexane,kg,=,n-hexane,kg,Young,match to TRACI 2.1,,,2/6/2025
Pyridine,kg,=,Pyridine,kg,Young,match to TRACI 2.1,,,2/6/2025
Aroclor 1260,kg,=,AROCLOR 1260,kg,Young,match to TRACI 2.1,,,2/6/2025
Aroclor 1254,kg,=,AROCLOR 1254,kg,Young,match to TRACI 2.1,,,2/6/2025
Glutaraldehyde,kg,=,"PENTANE-1,5-DIAL",kg,Young,match to TRACI 2.1,,,2/6/2025
Bis(2-chloroethyl) ether,kg,=,bis(2-chloroethyl)ether,kg,Young,match to TRACI 2.1,,,2/6/2025
Diethylene glycol,kg,=,DIETHYLENE GLYCOL,kg,Young,match to TRACI 2.1,,,2/6/2025
Pebulate,kg,=,PEBULATE,kg,Young,match to TRACI 2.1,,,2/6/2025
,,,"Ethylene glycol, monobutyl ether",kg,,,,,
Triethylene glycol,kg,=,TRIETHYLENE GLYCOL,kg,Young,match to TRACI 2.1,,,2/6/2025
Methylmercury chloride,kg,=,METHYL MERCURY CHLORIDE,kg,Young,match to TRACI 2.1,,,2/6/2025
Endosulfan,kg,=,Endosulfan,kg,Young,match to TRACI 2.1,,,2/6/2025
Dicofol,kg,=,DICOFOL,kg,Young,match to TRACI 2.1,,,2/6/2025
Tris(2-chloroethyl) phosphate,kg,=,TRI-2-CHLOROETHYL PHOSPHATE,kg,Young,match to TRACI 2.1,,,2/6/2025
Aldicarb,kg,=,Aldicarb,kg,Young,match to TRACI 2.1,,,2/6/2025
Aflatoxin B1,kg,=,Aflatoxin B1,kg,Young,match to TRACI 2.1,,,2/6/2025
Tetradifon,kg,=,TETRADIFON,kg,Young,match to TRACI 2.1,,,2/6/2025
Danthron,kg,=,"9,10-Anthracenedione, 1,8-dihydroxy-",kg,Young,match to TRACI 2.1,,,2/6/2025
Dichlone,kg,=,DICHLONE,kg,Young,match to TRACI 2.1,,,2/6/2025
Di(2-ethylhexyl) phthalate,kg,=,di-(2-ethylhexyl)-phthalate (DEHP),kg,Young,match to TRACI 2.1,,,2/6/2025
Hexachlorobenzene,kg,=,hexachlorobenzene,kg,Young,match to TRACI 2.1,,,2/6/2025
Chloranil,kg,=,CHLORANIL,kg,Young,match to TRACI 2.1,,,2/6/2025
Trinitrotoluene,kg,=,"2,4,6-Trinitrotoluene",kg,Young,match to TRACI 2.1,,,2/6/2025
4-Amino-2-nitrophenol,kg,=,"PHENOL, 4-AMINO-2-NITRO-",kg,Young,match to TRACI 2.1,,,2/6/2025
Isolane,kg,=,ISOLAN,kg,Young,match to TRACI 2.1,,,2/6/2025
Anthracene,kg,=,anthracene,kg,Young,match to TRACI 2.1,,,2/6/2025
Dimethyl terephthalate,kg,=,Dimethyl terephthalate,kg,Young,match to TRACI 2.1,,,2/6/2025
Piperonyl sulfoxide,kg,=,SULFOXIDE,kg,Young,match to TRACI 2.1,,,2/6/2025
Indole,kg,=,INDOLE,kg,Young,match to TRACI 2.1,,,2/6/2025
Catechol,kg,=,catechol,kg,Young,match to TRACI 2.1,,,2/6/2025
"2,4-Dichlorophenol",kg,=,"2,4-dichlorophenol",kg,Young,match to TRACI 2.1,,,2/6/2025
2-Imidazolidinone,kg,=,2-Imidazolidinone,kg,Young,match to TRACI 2.1,,,2/6/2025
"2,4-Dinitrotoluene",kg,=,"2,4-dinitrotoluene",kg,Young,match to TRACI 2.1,,,2/6/2025
Zineb,kg,=,ZINEB,kg,Young,match to TRACI 2.1,,,2/6/2025
"N,N-Dimethylaniline",kg,=,"N,N-Dimethylaniline",kg,Young,match to TRACI 2.1,,,2/6/2025
Malathion,kg,=,Malathion,kg,Young,match to TRACI 2.1,,,2/6/2025
Propyl gallate,kg,=,PROPYL GALLATE,kg,Young,match to TRACI 2.1,,,2/6/2025
Simazine,kg,=,simazine,kg,Young,match to TRACI 2.1,,,2/6/2025
Propham,kg,=,ISOPROPYL PHENYL CARBAMATE,kg,Young,match to TRACI 2.1,,,2/6/2025
"1,2-Diphenylhydrazine",kg,=,Hydrazobenzene,kg,Young,match to TRACI 2.1,,,2/6/2025
Hydroquinone,kg,=,Hydroquinone,kg,Young,match to TRACI 2.1,,,2/6/2025
